Aant_PlateArmor_Helm	Awrain Plate Helm
Farmer_BackPack_I	Farmer's Pack
Farmer_BackPack_II	Farmer's Pack
Feather	Feather
Feather_Pen	Feather Pen
Fennel	Fennel
Fertilizer_Sprayer_BackPack	Fertilizer Sprayer
Fiburrou_TwoHandedWarHammer	Iris Warhammer
FieldBattle_BackPack_I	Field Pack
FieldBattle_BackPack_II	Field Pack
FieldBattle_BackPack_III	Field Pack
Figs	Fig
Figs_Seed	Fig Seed
Fine_Stone	Fine Stone
Fine_Wood	Fine Timber
Finraysen_Leather_Armor	Finneron Leather Armor
Fiore_Fabric_Armor	Fiore Cloth Armor
Fiore_Fabric_Helm	Fiore Cloth Cap
Fiore_Leather_Boots	Fiore Leather Boots
FireFly_Lantern	Firefly Lantern
Fire_Arrow	Fire Arrow
Fire_Bomb	Bomb
Fire_Boots	Fire Walk Boots
Fire_staff_spear_TwoHandSpear	Flame Spear
First_Artifact	The First Artifact
Fish_BackPack_I	Angler's Pack
Fish_BackPack_II	Angler's Pack
Fish_Bulgogi	Pan-Fried Marinated Fish
Fish_Bulgogi_Large	Satisfying Pan-Fried Marinated Fish
Fish_Bulgogi_Medium	Filling Pan-Fried Marinated Fish
Fish_Bulgogi_XLarge	Hearty Pan-Fried Marinated Fish
Fish_Fruit_Porridge	Steamed Fish
Fish_Fruit_Porridge_Large	Satisfying Steamed Fish
Fish_Fruit_Porridge_Medium	Filling Steamed Fish
Fish_Fruit_Porridge_XLarge	Hearty Steamed Fish
Fish_Porridge	Fish Porridge
Fish_Porridge_Large	Satisfying Fish Porridge
Fish_Porridge_Medium	Filling Fish Porridge
Fish_Porridge_XLarge	Hearty Fish Porridge
Fish_Sanjeok	Fish Skewers
Fish_Sanjeok_Large	Satisfying Fish Skewers
Fish_Sanjeok_Medium	Filling Fish Skewers
Fish_Sanjeok_XLarge	Hearty Fish Skewers
Fish_Soup	Mixed Stew
Fish_Soup_Large	Satisfying Mixed Stew
Fish_Soup_Medium	Filling Mixed Stew
Fish_Soup_XLarge	Hearty Mixed Stew
Fish_Stew	Fish Stew
Fish_Stew_Large	Satisfying Fish Stew
Fish_Stew_Medium	Filling Fish Stew
Fish_Stew_XLarge	Hearty Fish Stew
Fish_Vegetable_Porridge	Vegetable and Seafood Porridge
Fish_Vegetable_Porridge_Large	Satisfying Vegetable and Seafood Porridge
Fish_Vegetable_Porridge_Medium	Filling Vegetable and Seafood Porridge
Fish_Vegetable_Porridge_XLarge	Hearty Vegetable and Seafood Porridge
FishingRod	Fishing Rod
FishingRod_II	Fine Fishing Rod
FishingRod_III	Pororin Fishing Rod
FlameThrower	Electromagnetic Flamespitter
Flame_Knights_PlateArmor_Helm	Flame Knight's Plate Helm
Flame_Knights_PlateArmor_Helm_I	Flame Knight's Plate Helm
Flame_SwordMan_PlateArmor_Gloves	Flame Swordsman Plate Gloves
Flame_SwordMan_TwoHandHammer	Greathammer of Fire
Flame_staff_spear_TwoHandSpear	Blazing Spear
FlatBasket	Wide Basket
Flolin_BackPack	Pororin Pack
Flolin_BackPack_FlowerDrone_I	Florindale Flower Bomb Pack
Flolin_BackPack_II	Florindale Empty Pack
Flordanus_Leather_Armor	Flordanus Leather Armor
Florin_Fabric_Cloak	Pororin Cloth Cloak
Florin_Fabric_Helm	Pororin Petal Hat
Flynn_PlateArmor_Helm	Flynn Plate Helm
Folorin_Earring	Flower Petal Earring
Fontergear_OneHandMace	Bonepit Mace
Fontine_Leather_Armor	Fontine Leather Armor
Food_BaliOgluChub	Small Minnow
Food_Bass_I	Bass
Food_Bass_II	Yellow Bass
Food_Benjari	Threeline Grunt
Food_Beyaz	Small Rasbora
Food_BlackSeaBream	Blackhead Seabream
Food_Blackbrow_Bleak	Small Blackbrow Bleak
Food_BlueCrab	Blue Crab
Food_Burbot	Burbot
Food_Carp	Carp
Food_Catfish	Catfish
Food_Coelacanth	Coelacanth
Food_CookFailed	Mysterious Dish
Food_Crayfish	Crayfish
Food_Crucian_Carp	Crucian Carp
Food_Cuvier	Saw-Edged Perch
Food_Dover_Sole	Red Tonguesole
Food_Dried_Fish	Dried Fish
Food_DrinkFailed	Mysterious Liquid
Food_Eel	Freshwater Eel
Food_Fish_Meat	Fish Fillet
Food_GiantMudfish	Giant Pond Loach
Food_GiantRedSeaBream	Giant Red Seabream
Food_GoldCarp	Golden Carp
Food_GoldTenchi	Golden Tench
Food_Golden_Coelacanth	Golden Coelacanth
Food_HexeFish	Hexe Earthen Fish
Food_Lenok	Lenok
Food_LightCrotch	Anglerfish
Food_LightningEel	Electric Eel
Food_Mackerel	Mackerel
Food_Marlin	Striped Marlin
Food_MechanicFish	Clockwork Fish
Food_Mudfish	Pond Loach
Food_Perch	Perch
Food_Pikefish	Northern Pike
Food_RedSnapper	Crimson Opaleye
Food_Red_Seabream	Red Seabream
Food_Red_Snapper	Opaleye
Food_Ricefish	Ricefish
Food_Rock_Bream	Barred Knifejaw
Food_Sailfish	Sailfish
Food_Salmon	Salmon
Food_Sammy	Small Gudgeon
Food_Schneider	Small Spirlin
Food_Seahorse	Seahorse
Food_SevenStarShark	Broadnose Sevengill Shark
Food_Shrimp	Shrimp
Food_Sockeye_Salmon	Sockeye Salmon
Food_SpatulaSturgeon	Paddlefish
Food_Squid	Squid
Food_Ssogari	Leopard Perch
Food_Starfish	Starfish
Food_Sturgeon	Sturgeon
Food_Tenchi	Tench
Food_Trout	Trout
Food_river_Crab	Freshwater Crab
ForestFairy_TwoHandedWarHammer	Shadowleaf Soul Branch
Forest_Fairy_Leather_Armor	Forest Fae Armor
Forgotten_General_TwoHandAlebard	Awakened Spirit
Formosa_Leather_Armor	Formosa Leather Armor
FortMoru_Key	Fort Anvil Key
Fort_Flag_02	Small Halberd of Carnage's Banner Pike
Fort_Flag_03	Medium Halberd of Carnage's Banner Pike
FoxBean_Flower	Dunbaria
Freshly_Grilled_Bird	Grilled Bird Meat
Freshly_Grilled_Bird_Large	Satisfying Grilled Bird Meat
Freshly_Grilled_Bird_Medium	Filling Grilled Bird Meat
Freshly_Grilled_Bird_XLarge	Hearty Grilled Bird Meat
Freshly_Grilled_Crab	Grilled Pincers
Freshly_Grilled_Crab_Large	Satisfying Grilled Pincers
Freshly_Grilled_Crab_Medium	Filling Grilled Pincers
Freshly_Grilled_Crab_XLarge	Hearty Grilled Pincers
Freshly_Grilled_Squid	Grilled Seafood
Freshly_Grilled_Squid_Large	Satisfying Grilled Seafood
Freshly_Grilled_Squid_Medium	Filling Grilled Seafood
Freshly_Grilled_Squid_XLarge	Hearty Grilled Seafood
Fri_PlateArmor_Armor	Prix Plate Armor
Friendly_Legendary_Animal_Book	Black Lion Observation Log
Friendly_Legendary_Hunter	The Legendary Hunter's Whereabouts
Frinyl_PlateArmor_Helm	Ferenna Plate Helm
FrontierMilitia_OneHandShield	Flame Knights Shield
FruitTea	Fruit Tea
Fruit_Porridge	Fruit Punch
Fruit_Porridge_Large	Satisfying Fruit Punch
Fruit_Porridge_Medium	Filling Fruit Punch
Fruit_Porridge_XLarge	Hearty Fruit Punch
Fruit_Wine	Wine
Full_Course_of_Braised_Fish	Assorted Braised Fish
Full_Course_of_Braised_Fish_Large	Satisfying Assorted Braised Fish
Full_Course_of_Braised_Fish_Medium	Filling Assorted Braised Fish
Full_Course_of_Braised_Fish_XLarge	Hearty Assorted Braised Fish
Furniture_BackPack	Carpenter's Pack
Gadget_Fabric_Helm	Tech Hat
Gadget_Gloves	Tech Gloves
Gadherish_Fabric_Armor	Gadereich Cloth Armor
Gadherish_Fabric_Gloves	Gadereich Cloth Gloves
Gadherish_Fabric_Helm	Gadereich Cloth Cap
Gael_Fabric_Armor	Gael Cloth Armor
Gaeljude_PlateArmor_Gloves	Golden Greed Plate Gloves
Gaeljude_Plate_Boots	Golden Greed Plate Boots
Gahlatain_OneHandAxe	Ring of the Earth
Gaimeon_Leather_Gloves	Gaiman Leather Gloves
Gainarre_OneHandAxe	Leofric Double-Headed Axe
Gainik_Leather_Boots	Gannech Leather Boots
Galanta_Leather_Armor	Galanta Leather Armor
Galbon_ChainMail_Armor	Galbon Chain Mail
Gallabay_Leather_Armor	Gallabay Leather Armor
Gallophelt_Leather_Boots	Silverwolf Leather Boots
Gallophelt_PlateArmor_Gloves	Geloufeld Plate Gloves
Galustin_Leather_Armor	Galustin Leather Armor
Gamelot_Plate_Boots	Sahazhad Plate Boots
GantryCrane_Big_Key	Crane Control Room Key
Gardbedeff_Fabric_Armor	Gardeiff Cloth Armor
Garff_Fabric_Armor	Gaph Cloth Armor
Garlic	Garlic
Gas_Mask_Helm_I	Brimstone Gas Mask
Gatin_Leather_Boots	Gatin Leather Boots
Gaurah_Fabric_Helm	Gaurra Cloth Cap
Gaut_Fabric_Armor	Gaut Cloth Armor
Gaut_Fabric_Boots	Gaut Cloth Boots
Gaut_Leather_Armor	Gaut Leather Armor
Gelhouke_OneHandTowerShield	The Laughing Marionette Shield
Georg_Leather_Armor	Gorg Leather Armor
Gerano_Leather_Armor	Gerano Leather Armor
Germion_PlateArmor_Armor	Jerrinmarne Plate Armor
Ghaltain_Fabric_Helm	Ghaltain Cloth Cap
Ghost_TwohandSword	Invisible Longsword
GiantBallista_Book	Pailunese Guard's Journal
Giant_Copper_Drill	Copper Knuckledrill
Giant_ReiGhis_TwoHandGiantAxe	Gorthak Greataxe
Giant_Warriors_TwoHandGiantAxe	Patterned Stone Greataxe
Gias_Leather_Armor	Giath's Leather Armor
Gias_OneHandSword	Savage Sawblade
Gilded_OneHandShield	Gilded Shield
Gilded_OneHandTowerShield	Large Gilded Shield
Ginseng_Seed	Wild Ginseng Seed
Girrin_PlateArmor_Armor	Guilan Plate Armor
Gladiator_Fabric_Armor	Gladiator's Cloth Armor
Gladiator_Fabric_Armor_I	Gladiator's Cloth Armor
Gladiator_Fabric_Armor_II	Gladiator's Cloth Armor
Gladiator_Fabric_Armor_III	Gladiator's Cloth Armor
Gladiator_Fabric_Boots	Gladiator Cloth Boots
Gladiator_Fabric_Gloves_I	Gladiator Cloth Gloves
Gladiator_Leather_Armor	Gladiator Leather Armor
Gladiator_Leather_Boots	Troll Gladiator's Leather Boots
Gladiator_Leather_Boots_II	Gladiator's Leather Boots
Gladiator_PlateArmor_Gloves_I	Gladiator Plate Gloves
Gladiator_Plate_Boots	Gladiator Plate Boots
Gladiator_Stigma_TwoHandSpear	Slave Gladiator Branding Spear
Glaville_Leather_Armor	Glaville Leather Armor
Glosope_Leather_Armor	Glosope Leather Armor
GlowFlower_Seed	Luminous Seed
Glow_Fruit	Shineberry
Goat_Horn_Potion	Mysterious Elixir
Gobialthai_Fabric_Armor	Gobialta Cloth Armor
Gobialthai_Leather_Gloves	Gobialta Leather Gloves
Goblin_Boss_OneHandSword	Lightningblade of Greed
Goblin_Director_House_Key	Overseer's House Key
Goblin_Fight_PlateArmor_Gloves	Goblin Dueling Plate Gloves
Goblin_Merchant_Fabric_Armor_V	Goldleaves' Cloth Armor
Goblin_Merchant_Fabric_Helm	Goldleaf Soldier Cloth Headband
Goblin_Merchant_PlateArmor_Gloves_I	Goblin Merchant Guild's Plate Gloves
Goblin_Merchant_Soldier_Leather_Boots	Goldleaves' Short Leather Boots
Goblin_Merchant_Soldier_Leather_Boots_I	Goldleaves' Leather Boots
Goblin_Merchant_Soldier_Leather_Helm_I	Goldleaves' Cone Leather Helm
Goblin_Merchant_Soldier_Leather_Helm_II	Goldleaves' Leather Helm
Goblin_Pot	Goldleaf Censer
Goblin_Pumpkin_Helm_I	Goblin Pumpkin Helm
Godhehart_ChainMail_Gloves	Goldheart Chain Gloves
Gohol_Leather_Boots	Gohol Leather Boots
GoldArmor_OneHandSword	Sword of Greed
GoldBar	Gold Bar
GoldBar_Fake	Crude Gold Bar
GoldOre	Gold Ore
Gold_Apple	Golden Apple
Gold_Armor_OneHandShield	Golden Shield
Gold_Plating_Lantern	Shroud Lantern
GoldenGoose_Egg	Golden Goose Egg
Golden_OneHandSword	Golden Sword
Golden_PlateArmor_Armor	Golden Greed Plate Armor
Golden_PlateArmor_Cloak	Golden Greed Plate Cloak
Golden_PlateArmor_Helm	Golden Greed Plate Helm
Goldur_Leather_Armor	Goldur Leather Armor
Goloduan_PlateArmor_Gloves	Demenissian Elite Plate Gloves
Gomel_Leather_Armor	Gomel Leather Armor
Goorba_OneHandMace	Saltroad Mace
GraceMansion_MetalDoor_Key	Glenbright Manor Key
GraceMansion_RoomDoor_Key	Glenbright Manor Basement Key
Grace_Blueprint	Cloudcart Blueprint
Grace_Fabric_Gloves	Runae Cloth Gloves
Grace_PlateArmor_Helm	Grace Plate Helm
Grace_Plate_Boots	Canta Plate Boots
Grape	Grape
GraveRobber_Leather_Armor_I	Grave Robber's Leather Armor
GraveRobber_Leather_Armor_II	Grave Robber's Leather Armor
GraveRobber_Leather_Armor_III	Grave Robber's Leather Armor
GraveRobber_Leather_Armor_IV	Grave Robber's Leather Armor
Graymane_Token	Greymane's Token
GreenOrc_TwoHandedWarHammer	Gorthak Warhammer
GreenStone	Epidote
Greeney_Leather_Armor	Greeney Leather Armor
Gregor_OneHandShield	Khaled Shield
Gregrick_TwoHandSword	Dewhaven Longsword
Grenvar_HorseArmor_Armor	Grenbar Cloth Barding
GreyWolf_OneHandBow	Grey Wolf Bow
Greyfur_Fabric_Armor	Balder's Cloth Armor
Greyfur_Fabric_Armor_C	Ronald's Cloth Armor
Greyfur_Fabric_Armor_CI	Greymane Cloth Armor
Greyfur_Fabric_Armor_D	Fritz's Cloth Armor
Greyfur_Fabric_Armor_I	Matilda's Cloth Armor
Greyfur_Fabric_Armor_III	Devan's Cloth Armor
Greyfur_Fabric_Armor_IV	Terry's Cloth Armor
Greyfur_Fabric_Armor_IX	Falstaff's Cloth Armor
Greyfur_Fabric_Armor_L	Brennan's Cloth Armor
Greyfur_Fabric_Armor_LX	Niall's Cloth Armor
Greyfur_Fabric_Armor_LXX	Luke's Cloth Armor
Greyfur_Fabric_Armor_LXXX	Vernon's Cloth Armor
Greyfur_Fabric_Armor_M	Otto's Cloth Armor
Greyfur_Fabric_Armor_MI	Jian's Cloth Armor
Greyfur_Fabric_Armor_MII	Marius's Cloth Armor
Greyfur_Fabric_Armor_MIII	Greymane Cloth Armor
Greyfur_Fabric_Armor_V	Ryan's Cloth Armor
Greyfur_Fabric_Armor_VI	Lars's Cloth Armor
Greyfur_Fabric_Armor_VII	Luther's Cloth Armor
Greyfur_Fabric_Armor_VIII	Colton's Cloth Armor
Greyfur_Fabric_Armor_X	Arnold's Cloth Armor
Greyfur_Fabric_Armor_XC	Xavier's Cloth Armor
Greyfur_Fabric_Armor_XI	Lucius's Cloth Armor
Greyfur_Fabric_Armor_XII	Duncan's Cloth Armor
Greyfur_Fabric_Armor_XL	Wybert's Cloth Armor
Greyfur_Fabric_Armor_XX	Anders's Cloth Armor
Greyfur_Fabric_Armor_XXX	Fred's Cloth Armor
Greyfur_Fabric_Gloves	Greymane Cloth Gloves
Greyfur_Fabric_Helm	Colton's Cloth Helm
Greyfur_Fabric_Helm_I	Arnold's Cloth Helm
Greyfur_Fabric_Helm_II	Wybert's Cloth Helm
Greyfur_Fabric_Helm_III	Fritz's Cloth Helm
Greyfur_Fabric_Helm_IV	Shane's Cloth Headband
Greyfur_Leather_Armor	Greymanes' Leather Armor
Greyfur_Leather_Armor_I	Greymanes' Leather Armor
Greyfur_Leather_Armor_II	Greymanes' Leather Armor
Greyfur_Leather_Armor_III	Greymanes' Leather Armor
Greyfur_Leather_Armor_IV	Greymanes' Leather Armor
Greyfur_Leather_Armor_IX	Gilbert's Leather Armor
Greyfur_Leather_Armor_L	Kenneth's Leather Armor
Greyfur_Leather_Armor_LX	Aldric's Leather Armor
Greyfur_Leather_Armor_LXX	Gerald's Leather Armor
Greyfur_Leather_Armor_LXXX	Duane's Leather Armor
Greyfur_Leather_Armor_LXXXI	Shane's Leather Armor
Greyfur_Leather_Armor_LXXXII	Greymanes' Leather Armor
Greyfur_Leather_Armor_LXXXIII	Greymane's Leather Armor
Greyfur_Leather_Armor_V	Morrow's Leather Armor
Greyfur_Leather_Armor_VI	Laurent's Leather Armor
Greyfur_Leather_Armor_VII	Brant's Leather Armor
Greyfur_Leather_Armor_VIII	Joseph's Leather Armor
Greyfur_Leather_Armor_X	Max's Leather Armor
Greyfur_Leather_Armor_XI	Silvan's Leather Armor
Greyfur_Leather_Armor_XII	Pierce's Leather Armor
Greyfur_Leather_Armor_XL	Joan's Leather Armor
Greyfur_Leather_Armor_XX	Evelyn's Leather Armor
Greyfur_Leather_Armor_XXX	Andrew's Leather Armor
Greyfur_Leather_Boots	Evelyn's Leather Boots
Greyfur_Leather_Boots_I	Morrow's Leather Boots
Greyfur_Leather_Boots_II	Luther's Leather Boots
Greyfur_Leather_Boots_III	Andrew's Leather Boots
Greyfur_Leather_Boots_IV	Arnold's Leather Boots
Greyfur_Leather_Boots_V	Joan's Leather Boots
Greyfur_Leather_Boots_VI	Duncan's Leather Boots
Greyfur_Leather_Boots_VII	Ronald's Leather Boots
Greyfur_Leather_Gloves	Brant's Leather Gloves
Greyfur_Leather_Gloves_I	Vernon's Leather Gloves
Greyfur_Leather_Gloves_II	Laurent's Leather Gloves
Greyfur_Leather_Helm	Matilda's Leather Headband
Greyfur_Leather_Helm_I	Jian's Leather Helm
Greyfur_Leather_Helm_II	Greymane Leather Helm
Greyfur_Necklace	Greymane Necklace
Greyfur_PlateArmor_Gloves_I	Darren Plate Gloves
Greymane_Nobility_Degree_I	Greymane Signet
Grilled_Big_Fish	Large Grilled Fish
Grilled_Big_Fish_Large	Satisfying Large Grilled Fish
Grilled_Big_Fish_Medium	Filling Large Grilled Fish
Grilled_Big_Fish_XLarge	Hearty Large Grilled Fish
Grilled_Fish	Grilled Fish
Grilled_Fish_Large	Satisfying Grilled Fish
Grilled_Fish_Medium	Filling Grilled Fish
Grilled_Fish_XLarge	Hearty Grilled Fish
Grilled_Fruit	Grilled Fruit
Grilled_Fruit_Large	Satisfying Grilled Fruit
Grilled_Fruit_Medium	Filling Grilled Fruit
Grilled_Fruit_XLarge	Hearty Grilled Fruit
Grilled_Meat	Grilled Meat
Grilled_Meat_Fish	Grilled Meat and Fish
Grilled_Meat_Fish_Large	Satisfying Grilled Meat and Fish
Grilled_Meat_Fish_Medium	Filling Grilled Meat and Fish
Grilled_Meat_Fish_XLarge	Hearty Grilled Meat and Fish
Grilled_Meat_Large	Satisfying Grilled Meat
Grilled_Meat_Medium	Filling Grilled Meat
Grilled_Meat_XLarge	Hearty Grilled Meat
Grilled_Small_Fish	Small Grilled Fish
Grilled_Small_Fish_Large	Satisfying Small Grilled Fish
Grilled_Small_Fish_Medium	Filling Small Grilled Fish
Grilled_Small_Fish_XLarge	Hearty Small Grilled Fish
Grilled_Vegetables	Grilled Vegetables
Grilled_Vegetables_Large	Satisfying Grilled Vegetables
Grilled_Vegetables_Medium	Filling Grilled Vegetables
Grilled_Vegetables_XLarge	Hearty Grilled Vegetables
Grolla_Leather_Armor	Grolla Leather Armor
Grommet_Leather_Armor	Grommet Leather Armor
Gronerd_Leather_Armor	Gronerd Leather Armor
Groucca_Leather_Armor	Groucca Leather Armor
Gruun_Fabric_Armor	Gruun Cloth Armor
GuardianTree_Pear	Fruit of Life
Guardian_PlateArmor_Armor	Guardian Plate Armor
Guff_Leather_Armor	Guff Leather Armor
Gun_OneHandShield	Shotgun Shield
Gun_Powder	Gunpowder
Gungjung_Tteokbokki	Pan-Fried Rice Cakes
Gungjung_Tteokbokki_Large	Satisfying Pan-Fried Rice Cakes
Gungjung_Tteokbokki_Medium	Filling Pan-Fried Rice Cakes
Gungjung_Tteokbokki_XLarge	Hearty Pan-Fried Rice Cakes
Gursus_Leather_Armor	Gersens Leather Armor
Gustav_OneHandMusket	Gustav Musket
Gut_Leather_Boots	Goot Leather Boots
Guts_PlateArmor_Armor	Gwets Plate Armor
Haasam	False Starwort
Hacking_PlateArmor_Helm	Circuit Hijacking Helm
Haemuljjim	Steamed Seafood
Haemuljjim_Large	Satisfying Steamed Seafood
Haemuljjim_Medium	Filling Steamed Seafood
Haemuljjim_XLarge	Hearty Steamed Seafood
Hagmundt_HorseArmor_Armor	Hagmund Barding
Hagmundt_HorseArmor_Helm	Hagmund Champron
Hagmundt_HorseArmor_Saddle	Hagmund Saddle
Hagwood_Leather_Gloves	Hagwood Leather Gloves
Hailbrin_Fabric_Armor	Nevin Cloth Armor
Hailbrin_Fabric_Helm	Nevin Cloth Bandana
Hailbrin_Leather_Armor	Helfryn Leather Armor
Hailbrin_Leather_Boots	Helfryn Leather Boots
Hailbrin_Leather_Cloak	Helfryn Leather Cloak
Hailbrin_Leather_Gloves	Helfryn Leather Gloves
Hailbrin_Necklace	Helfryn Necklace
Hailen_Fabric_Armor	Haillen Cloth Armor
Halkias_Leather_Gloves	Harkias Leather Gloves
Halsius_Record	Journal on Treating Lunatics
Hanbok_Fabric_Gloves_T1_QA	Hanbok Fabric Gloves T1 QA
Harald_Fabric_Cloak	Dewhaven Standard Cloth Cloak
Harald_Leather_Armor	Dewhaven Standard Leather Armor
Haran_Fabric_Armor	Harran Cloth Armor
Hard_Thorn_OneHandTowerShield	Legion Spearmen's Large Shield
Harghai_Fabric_Armor	Harghai Cloth Armor
Hark_Leather_Gloves	Hark Leather Gloves
Harker_Fabric_Helm	Harker Cloth Cap
Harkias_OneHandAxe	Gilliam Axe
Haron_Fabric_Gloves	Haron Cloth Gloves
Harpy_Feather	Harpy Feather
Hartman_PlateArmor_Helm	Hartmann Plate Helm
Hasets_ChainMail_Armor	Hasets Chain Mail
Hassal_Fabric_Armor	Hassal Cloth Armor
Hazuka_Leather_Armor	Hashaka Leather Armor
Heat_PlateArmor_Helm	Helm of Ignition
Heavy_Copper_Pack	Full Copper Pouch
Heavy_Silver_Pack	Overflowing Silver Pouch
Hegeh_Leather_Gloves	Hegea Leather Gloves
Hegeh_TwoHandAlebard	Marauder's Halberd
Hegeh_TwoHandedWarHammer	Bonepit Warhammer
Heisellen_Fabric_Armor	The Masked Liberator's Cloth Armor
Heisellen_Fabric_Cloak	The Masked Liberator's Cloth Cloak
Heisellen_Fabric_Cloak_T1_QA	Heisellen Fabric Cloak T1 QA
Hellad_Leather_Armor	Hellad Leather Armor
Hellhonds_Leather_Helm	Hellhound Leather Helm
Hemon_Vindel_Leather_Armor	Duskfang Leather Armor
Hemon_Vindel_Leather_Cloak	Duskfang Leather Cloak
HemondBindel_TwoHandSword	Hound
Hentti_Fabric_Armor	Hentree Cloth Armor
Herbal_Tea	Mild Herbal Tea
Herbalist_BackPack_I	Herbalist's Pack
Herbalist_BackPack_II	Herbalist's Pack
Herdel_Leather_Boots	Herdel Leather Boots
Hermalfaya_Leather_Armor	Helpaia Leather Armor
Hernand_Cloak	Hernandian Noble's Cloak
Hernand_Contribution_Flag	Hernandian Contribution Banner
Hernand_Crown	Hernandian Crown
Hernand_Flag_I	Small Hernandian Banner Pike
Hernand_Flag_II	Medium Hernandian Banner Pike
Hernand_GuardCaptain_Fabric_Armor	Hernandian Honor Guard Armor
Hernand_GuardCaptain_Fabric_Cloak	Hernandian Honor Guard Cloak
Hernand_GuardCaptain_Leather_Boots	Hernandian Honor Guard Boots
Hernand_GuardCaptain_Leather_Gloves	Hernandian Honor Guard Gloves
Hernand_HorseArmor_Armor	Hernandian Barding
Hernand_HorseArmor_Helm	Hernandian Champron
Hernand_HorseArmor_Saddle	Hernandian Saddle
Hernand_HorseArmor_Stirrup	Hernandian Stirrups
Hernand_Nobility_Degree_I	Hernandian Signet
Hernand_Party_Leather_Boots	Hernandian Banquet Leather Boots
Hernand_Soldier_HorseArmor_Armor	Hernandian Soldier's Cloth Barding
Hernand_William_Middler_Fabric_Armor	Williem Middler Cloth Armor
Hernand_Winery_Key	Hernand Wine Storehouse Key
Herween_Leather_Armor	Herwin Leather Armor
Hewlette_Fabric_Armor	Hewlette Cloth Armor
Hexe_Archer_OneHandBow	Bow of the Fleeting
Hexe_Earring	Witch's Earring
Hexe_Marie_Boy_Toy	Doll or Toy made by Hexe Marie
Hexe_Ring	Hexe Marie's Ring
Hexe_Soldier_OneHandMace	Mace of the Fleeting
Hexe_Soldier_OneHandShield	Shell of the Fleeting
Hexe_Soldier_OneHandSword	Sword of the Fleeting
Hexe_Soldier_TwoHandSpear	Staff of the Fleeting
Hexe_Warrior_TwoHandSpear	Spear of the Fleeting
Hidden_TreasureMap_I	Hidden Treasure Map Piece 1
Hidden_TreasureMap_II	Hidden Treasure Map Piece 2
Hidden_TreasureMap_III	Hidden Treasure Map Piece 3
Hidden_TreasureMap_IV	Hidden Treasure Map Piece 4
Hidden_TreasureMap_IX	Hidden Treasure Map Piece 9
Hidden_TreasureMap_V	Hidden Treasure Map Piece 5
Hidden_TreasureMap_VI	Hidden Treasure Map Piece 6
Hidden_TreasureMap_VII	Hidden Treasure Map Piece 7
Hidden_TreasureMap_VIII	Hidden Treasure Map Piece 8
Hidden_TreasureMap_X	Hidden Treasure Map Piece 10
Hidden_TreasureMap_XI	Hidden Treasure Map Piece 11
Hidden_TreasureMap_XII	Hidden Treasure Map Piece 12
High_HolyWater	Solumen's Holy Water
High_Meat	Tough Meat
High_Wine	Delesyian Wine
Hleinmers_TwoHandAlebard	Iris Halberd
Hleinmers_TwoHandedWarHammer	Cactus Warhammer
Hobuka_Leather_Armor	Hobbuca Leather Armor
Hodges_Leather_Armor	Hodges Leather Armor
HolyWater	Holy Water
Home_Key	Key
Honey	Honey
HoneyComb	Beehive
HoneyComb_OneHandMace	Beehive Club
Honey_Tea	Honey Tea
Hooburn_Leather_Boots	Hauvern Leather Boots
Hoobus_Fabric_Helm	Hubus Cloth Cap
Hoobus_Leather_Armor	Hubus Leather Armor
Hordyroar_Leather_Boots	Hoardroar Leather Boots
Horizon_Leather_Armor	Horizon Leather Armor
HorseFeed_Hay	Hay
HorseFeed_Hp_Potion	Horse Tonic
HorseFeed_Lump_Sugar	Sugar Cubes
HorseFeed_Speed_Potion	Horse Stimulant
HorseFeed_Sugar_Beet	Sugar Beet
HorseShoe_HorseArmor_Brass_horseshoe_II	Bronze Horseshoes
HorseShoe_HorseArmor_Clover_Horseshoe_II	Four-Leaf Horseshoes
HorseShoe_HorseArmor_Shabby_horseshoe_II	Shabby Horseshoes
HorseShoe_HorseArmor_Shoe	Silver Iron Horseshoes
HorseShoe_HorseArmor_Shoe_I	Ironstone Horseshoes
HorseShoe_HorseArmor_Shoe_II	Bow Knot Horseshoes
HorseShoe_HorseArmor_Shoe_III	Steelheart Horseshoes
HorseShoe_HorseArmor_Silvermoon_Horseshoe_II	Silvermoon Horseshoes
HorseShoe_HorseArmor_Steel_Horseshoe_II	Steel Horseshoes
HorseShoe_HorseArmor_Stirrup	Crude Stirrups
HorseShoe_HorseArmor_Stirrup_I	Wells Military Stirrups
HorseShoe_HorseArmor_Stirrup_II	Decorative Dragon Head Stirrups
HorseShoe_HorseArmor_Stirrup_III	Gold-Decorated Stirrups
HorseShoe_HorseArmor_Stirrup_IV	Fine Leather Stirrups
HorseShoe_HorseArmor_Stirrup_V	Exclaire Stirrups
HorseShoe_HorseArmor_marquel_Stirrup	Marcello Stirrups
Hound_Flag_I	Small Hellhounds Banner Pike
Hound_Flag_II	Medium Hellhounds Banner Pike
Huge_TwoHandGiantAxe	Inquisitor's Greataxe
Hunter_BackPack_I	Hunter's Pack
Hunter_BackPack_II	Hunter's Pack
Huntington_Leather_Boots	Huntington Leather Boots
Huntington_OneHandMusket	Arlen Musket
Huon_Leather_Armor	Huron Leather Armor
Huroi_Leather_Boots	Scholastone Boots
Huroi_Leather_Helm	Scholastone Cap
Huskall_Leather_Armor	Huskall Leather Armor
Hwando_TwoHandSword	Hwando
